Rank1,YearType,Year,Value,Unit,Attribute,Commodity,CommodityType
1474,Market year,2027/28,400,Thousand short tons,Beginning stocks,Soybean meal,Crops
1475,Market year,2027/28,400,Thousand short tons,Ending Stocks,Soybean meal,Crops
1476,Market year,2027/28,56400,Thousand short tons,Total use,Soybean meal,Crops
1477,Market year,2027/28,400,Thousand short tons,Imports,Soybean meal,Crops
1478,Market year,2027/28,56000,Thousand short tons,Production,Soybean meal,Crops
1479,Market year,2027/28,56800,Thousand short tons,Total supply,Soybean meal,Crops
1480,Market year,2027/28,41850,Thousand short tons,Domestic use,Soybean meal,Crops
1481,Market year,2027/28,14550,Thousand short tons,Exports,Soybean meal,Crops
1482,Market year,2027/28,0,Dollars per pound,Soybean oil price (dollar/pound),Soybean oil,Crops
1483,Market year,2027/28,12,Pounds per bushel,"Crushing yields, soybean oil",Soybean oil,Crops
1484,Market year,2027/28,1880,Million pounds,Beginning stocks,Soybean oil,Crops
1485,Market year,2027/28,1900,Million pounds,Ending Stocks,Soybean oil,Crops
1486,Market year,2027/28,27950,Million pounds,Total use,Soybean oil,Crops
1487,Market year,2027/28,350,Million pounds,Imports,Soybean oil,Crops
1488,Market year,2027/28,27620,Million pounds,Production,Soybean oil,Crops
1489,Market year,2027/28,29850,Million pounds,Total supply,Soybean oil,Crops
1490,Market year,2027/28,25300,Million pounds,Domestic use,Soybean oil,Crops
1491,Market year,2027/28,8450,Million pounds,"Soybean oil, for methyl ester",Soybean oil,Crops
1492,Market year,2027/28,2650,Million pounds,Exports,Soybean oil,Crops
1493,Market year,2027/28,89.2,Million acres,Harvested acres,Soybeans,Crops
1494,Market year,2027/28,90,Million acres,Planted acres,Soybeans,Crops
1495,Market year,2027/28,297,Million bushels,Beginning stocks,Soybeans,Crops
1496,Market year,2027/28,300,Million bushels,Ending Stocks,Soybeans,Crops
1497,Market year,2027/28,15,Million bushels,Imports,Soybeans,Crops
1498,Market year,2027/28,4810,Million bushels,Production,Soybeans,Crops
1499,Market year,2027/28,5122,Million bushels,Total supply,Soybeans,Crops
1500,Market year,2027/28,2375,Million bushels,Crush,Soybeans,Crops
1501,Market year,2027/28,142,Million bushels,Seed and residual,Soybeans,Crops
1502,Market year,2027/28,4822,Million bushels,Total use,Soybeans,Crops
1503,Market year,2027/28,2305,Million bushels,Exports,Soybeans,Crops
1504,Market year,2027/28,361,Dollars per acre,Net returns,Soybeans,Crops
1505,Market year,2027/28,6.2,Dollars per bushel,Loan rate,Soybeans,Crops
1506,Market year,2027/28,2.56,Dollars per bushel,Crush margin (dollar/bushel),Soybeans,Crops
1507,Market year,2027/28,9.7,Dollars per bushel,Farm price,Soybeans,Crops
1508,Market year,2027/28,6.2,Percent,"Stocks/use ratio, percent",Soybeans,Crops
1509,Market year,2027/28,162,Dollars,Variable cost of production (per acre),Soybeans,Crops
1510,Market year,2027/28,3,Dollars,Variable cost of production (per bushel),Soybeans,Crops
1511,Market year,2027/28,53.9,Bushels per acre,Yield (bushel/harvested acre),Soybeans,Crops
1512,Market year,2027/28,10.6,Million acres,Harvested acres,Upland Cotton,Crops
1513,Market year,2027/28,12.5,Million acres,Planted acres,Upland Cotton,Crops
1514,Market year,2027/28,6075,Thousand bales,Beginning stocks,Upland Cotton,Crops
1515,Market year,2027/28,6125,Thousand bales,Ending stocks,Upland Cotton,Crops
1516,Market year,2027/28,5,Thousand bales,Imports,Upland Cotton,Crops
1517,Market year,2027/28,19500,Thousand bales,Production,Upland Cotton,Crops
1518,Market year,2027/28,25580,Thousand bales,Total supply,Upland Cotton,Crops
1519,Market year,2027/28,3000,Thousand bales,Domestic use,Upland Cotton,Crops
1520,Market year,2027/28,19400,Thousand bales,Total use,Upland Cotton,Crops
1521,Market year,2027/28,16400,Thousand bales,Exports,Upland Cotton,Crops
1522,Market year,2027/28,236,Dollars per acre,Net returns,Upland Cotton,Crops
1523,Market year,2027/28,31.6,Percent,"Stocks/use ratio, percent",Upland Cotton,Crops
1524,Market year,2027/28,0.52,Dollars per pound,Loan rate,Upland Cotton,Crops
1525,Market year,2027/28,0.68,Dollars per pound,Farm price,Upland Cotton,Crops
1526,Market year,2027/28,473,Dollars,Variable cost of production (per acre),Upland Cotton,Crops
1527,Market year,2027/28,1,Dollars,Variable cost of production (per pound),Upland Cotton,Crops
1528,Market year,2027/28,880,Pounds per acre,Yield (pounds/harvested acre),Upland Cotton,Crops
1529,Market year,2027/28,37.7,Million acres,Harvested acres,Wheat,Crops
1530,Market year,2027/28,45,Million acres,Planted acres,Wheat,Crops
1531,Market year,2027/28,704,Million bushels,Beginning stocks,Wheat,Crops
1532,Market year,2027/28,706,Million bushels,Ending stocks,Wheat,Crops
1533,Market year,2027/28,130,Million bushels,Imports,Wheat,Crops
1534,Market year,2027/28,1945,Million bushels,Production,Wheat,Crops
1535,Market year,2027/28,2779,Million bushels,Total supply,Wheat,Crops
1536,Market year,2027/28,1123,Million bushels,Domestic use,Wheat,Crops
1537,Market year,2027/28,973,Million bushels,Food,Wheat,Crops
1538,Market year,2027/28,90,Million bushels,Feed & residual,Wheat,Crops
1539,Market year,2027/28,60,Million bushels,Seed,Wheat,Crops
1540,Market year,2027/28,2073,Million bushels,Total use,Wheat,Crops
1541,Market year,2027/28,950,Million bushels,Exports,Wheat,Crops
1542,Market year,2027/28,129,Dollars per acre,Net returns,Wheat,Crops
1543,Market year,2027/28,3.38,Dollars per bushel,Loan rate,Wheat,Crops
1544,Market year,2027/28,5.1,Dollars per bushel,Farm price,Wheat,Crops
1545,Market year,2027/28,34,Percent,"Stocks/use ratio, percent",Wheat,Crops
1546,Market year,2027/28,134,Dollars,Variable cost of production (per acre),Wheat,Crops
1547,Market year,2027/28,2.6,Dollars,Variable cost of production (per bushel),Wheat,Crops
1548,Market year,2027/28,51.6,Bushels per acre,Yield (bushel/harvested acre),Wheat,Crops
1549,Market year,2028/29,2.2,Million acres,Harvested acres,Barley,Crops
1550,Market year,2028/29,2.6,Million acres,Planted acres,Barley,Crops
1551,Market year,2028/29,80,Million bushels,Beginning stocks,Barley,Crops
1552,Market year,2028/29,82,Million bushels,Ending stocks,Barley,Crops
1553,Market year,2028/29,10,Million bushels,Imports,Barley,Crops
1554,Market year,2028/29,180,Million bushels,Production,Barley,Crops
1555,Market year,2028/29,270,Million bushels,Total supply,Barley,Crops
1556,Market year,2028/29,183,Million bushels,Domestic use,Barley,Crops
1557,Market year,2028/29,143,Million bushels,"Food, seed, & industrial",Barley,Crops
1558,Market year,2028/29,40,Million bushels,Feed & residual,Barley,Crops
1559,Market year,2028/29,188,Million bushels,Total use,Barley,Crops
1560,Market year,2028/29,5,Million bushels,Exports,Barley,Crops
1561,Market year,2028/29,186,Dollars per acre,Net returns,Barley,Crops
1562,Market year,2028/29,2.5,Dollars per bushel,Loan rate,Barley,Crops
1563,Market year,2028/29,4.5,Dollars per bushel,Farm price,Barley,Crops
1564,Market year,2028/29,43.6,Percent,"Stocks/use ratio, percent",Barley,Crops
1565,Market year,2028/29,182,Dollars,Variable cost of production (per acre),Barley,Crops
1566,Market year,2028/29,2.22,Dollars,Variable cost of production (per bushel),Barley,Crops
1567,Market year,2028/29,81.9,Bushels per acre,Yield (bushel/harvested acre),Barley,Crops
1568,Market year,2028/29,81.5,Million acres,Harvested acres,Corn,Crops
1569,Market year,2028/29,89,Million acres,Planted acres,Corn,Crops
1570,Market year,2028/29,2742,Million bushels,Beginning stocks,Corn,Crops
1571,Market year,2028/29,2812,Million bushels,Ending stocks,Corn,Crops
1572,Market year,2028/29,25,Million bushels,Imports,Corn,Crops
1573,Market year,2028/29,15850,Million bushels,Production,Corn,Crops
1574,Market year,2028/29,18617,Million bushels,Total supply,Corn,Crops
1575,Market year,2028/29,13130,Million bushels,Domestic use,Corn,Crops
1576,Market year,2028/29,5150,Million bushels,Ethanol and by-products,Corn,Crops
1577,Market year,2028/29,6555,Million bushels,"Food, seed, & industrial",Corn,Crops
1578,Market year,2028/29,6575,Million bushels,Feed & residual,Corn,Crops
1579,Market year,2028/29,15805,Million bushels,Total use,Corn,Crops
1580,Market year,2028/29,2675,Million bushels,Exports,Corn,Crops
1581,Market year,2028/29,353,Dollars per acre,Net returns,Corn,Crops
1582,Market year,2028/29,2.2,Dollars per bushel,Loan rate,Corn,Crops
1583,Market year,2028/29,3.55,Dollars per bushel,Farm price,Corn,Crops
1584,Market year,2028/29,17.8,Percent,"Stocks/use ratio, percent",Corn,Crops
1585,Market year,2028/29,337,Dollars,Variable cost of production (per acre),Corn,Crops
1586,Market year,2028/29,1.73,Dollars,Variable cost of production (per bushel),Corn,Crops
1587,Market year,2028/29,194.5,Bushels per acre,Yield (bushel/harvested acre),Corn,Crops
1588,Market year,2028/29,1,Million acres,Harvested acres,Oats,Crops
1589,Market year,2028/29,2.8,Million acres,Planted acres,Oats,Crops
1590,Market year,2028/29,42,Million bushels,Beginning stocks,Oats,Crops
1591,Market year,2028/29,40,Million bushels,Ending stocks,Oats,Crops
1592,Market year,2028/29,95,Million bushels,Imports,Oats,Crops
1593,Market year,2028/29,69,Million bushels,Production,Oats,Crops
1594,Market year,2028/29,206,Million bushels,Total supply,Oats,Crops
1595,Market year,2028/29,164,Million bushels,Domestic use,Oats,Crops
1596,Market year,2028/29,84,Million bushels,"Food, seed, & industrial",Oats,Crops
1597,Market year,2028/29,80,Million bushels,Feed & residual,Oats,Crops
1598,Market year,2028/29,166,Million bushels,Total use,Oats,Crops
1599,Market year,2028/29,2,Million bushels,Exports,Oats,Crops
1600,Market year,2028/29,49,Dollars per acre,Net returns,Oats,Crops
1601,Market year,2028/29,2,Dollars per bushel,Loan rate,Oats,Crops
1602,Market year,2028/29,2.65,Dollars per bushel,Farm price,Oats,Crops
1603,Market year,2028/29,24.1,Percent,"Stocks/use ratio, percent",Oats,Crops
1604,Market year,2028/29,133,Dollars,Variable cost of production (per acre),Oats,Crops
1605,Market year,2028/29,1.94,Dollars,Variable cost of production (per bushel),Oats,Crops
1606,Market year,2028/29,68.7,Bushels per acre,Yield (bushel/harvested acre),Oats,Crops
1607,Market year,2028/29,2650,Thousand acres,Harvested acres,Rice,Crops
1608,Market year,2028/29,2700,Thousand acres,Planted acres,Rice,Crops
1609,Market year,2028/29,480,Dollars per acre,Net returns,Rice,Crops
1610,Market year,2028/29,16.2,Percent,"Stocks/use ratio, percent",Rice,Crops
1611,Market year,2028/29,7,Dollars per hundredweight,Loan rate,Rice,Crops
1612,Market year,2028/29,13.5,Dollars per hundredweight,Farm price,Rice,Crops
1613,Market year,2028/29,580,Dollars,Variable cost of production (per acre),Rice,Crops
1614,Market year,2028/29,8,Dollars,Variable cost of production (per hundredweight),Rice,Crops
1615,Market year,2028/29,40.3,Million hundredweight,Beginning stocks,Rice,Crops
1616,Market year,2028/29,41.1,Million hundredweight,Ending stocks,Rice,Crops
1617,Market year,2028/29,70,Million hundredweight,"Milling rate, percent",Rice,Crops
1618,Market year,2028/29,45.8,Million hundredweight,Imports,Rice,Crops
1619,Market year,2028/29,208.1,Million hundredweight,Production,Rice,Crops
1620,Market year,2028/29,294.2,Million hundredweight,Total supply,Rice,Crops
1621,Market year,2028/29,152.6,Million hundredweight,Domestic use & residual,Rice,Crops
1622,Market year,2028/29,253.1,Million hundredweight,Total use,Rice,Crops
1623,Market year,2028/29,100.5,Million hundredweight,Exports,Rice,Crops
1624,Market year,2028/29,7853,Pounds per acre,Yield (pounds/harvested acre),Rice,Crops
1625,Market year,2028/29,6.2,Million acres,Harvested acres,Sorghum,Crops
1626,Market year,2028/29,7,Million acres,Planted acres,Sorghum,Crops
1627,Market year,2028/29,34,Million bushels,Beginning stocks,Sorghum,Crops
1628,Market year,2028/29,36,Million bushels,Ending stocks,Sorghum,Crops
1629,Market year,2028/29,0,Million bushels,Imports,Sorghum,Crops
1630,Market year,2028/29,427,Million bushels,Production,Sorghum,Crops
1631,Market year,2028/29,461,Million bushels,Total supply,Sorghum,Crops
1632,Market year,2028/29,105,Million bushels,Domestic use,Sorghum,Crops
1633,Market year,2028/29,40,Million bushels,"Food, seed, & industrial",Sorghum,Crops
1634,Market year,2028/29,65,Million bushels,Feed & residual,Sorghum,Crops
1635,Market year,2028/29,425,Million bushels,Total use,Sorghum,Crops
1636,Market year,2028/29,320,Million bushels,Exports,Sorghum,Crops
1637,Market year,2028/29,121,Dollars per acre,Net returns,Sorghum,Crops
1638,Market year,2028/29,2.2,Dollars per bushel,Loan rate,Sorghum,Crops
1639,Market year,2028/29,3.7,Dollars per bushel,Farm price,Sorghum,Crops
1640,Market year,2028/29,8.5,Percent,"Stocks/use ratio, percent",Sorghum,Crops
1641,Market year,2028/29,134,Dollars,Variable cost of production (per acre),Sorghum,Crops
1642,Market year,2028/29,1.94,Dollars,Variable cost of production (per bushel),Sorghum,Crops
1643,Market year,2028/29,69,Bushels per acre,Yield (bushel/harvested acre),Sorghum,Crops
1644,Market year,2028/29,348,Dollars per short ton,Soybean meal price (dollar/ton),Soybean meal,Crops
1645,Market year,2028/29,47,Pounds per bushel,"Crushing yields, soybean meal",Soybean meal,Crops
1646,Market year,2028/29,400,Thousand short tons,Beginning stocks,Soybean meal,Crops
1647,Market year,2028/29,400,Thousand short tons,Ending Stocks,Soybean meal,Crops
1648,Market year,2028/29,57075,Thousand short tons,Total use,Soybean meal,Crops
1649,Market year,2028/29,400,Thousand short tons,Imports,Soybean meal,Crops
1650,Market year,2028/29,56675,Thousand short tons,Production,Soybean meal,Crops
1651,Market year,2028/29,57475,Thousand short tons,Total supply,Soybean meal,Crops
1652,Market year,2028/29,42375,Thousand short tons,Domestic use,Soybean meal,Crops
1653,Market year,2028/29,14700,Thousand short tons,Exports,Soybean meal,Crops
1654,Market year,2028/29,0,Dollars per pound,Soybean oil price (dollar/pound),Soybean oil,Crops
1655,Market year,2028/29,12,Pounds per bushel,"Crushing yields, soybean oil",Soybean oil,Crops
1656,Market year,2028/29,1900,Million pounds,Beginning stocks,Soybean oil,Crops
1657,Market year,2028/29,1930,Million pounds,Ending Stocks,Soybean oil,Crops
1658,Market year,2028/29,28300,Million pounds,Total use,Soybean oil,Crops
1659,Market year,2028/29,350,Million pounds,Imports,Soybean oil,Crops
1660,Market year,2028/29,27980,Million pounds,Production,Soybean oil,Crops
1661,Market year,2028/29,30230,Million pounds,Total supply,Soybean oil,Crops
1662,Market year,2028/29,25550,Million pounds,Domestic use,Soybean oil,Crops
1663,Market year,2028/29,8500,Million pounds,"Soybean oil, for methyl ester",Soybean oil,Crops
1664,Market year,2028/29,2750,Million pounds,Exports,Soybean oil,Crops
1665,Market year,2028/29,89.2,Million acres,Harvested acres,Soybeans,Crops
1666,Market year,2028/29,90,Million acres,Planted acres,Soybeans,Crops
1667,Market year,2028/29,300,Million bushels,Beginning stocks,Soybeans,Crops
1668,Market year,2028/29,294,Million bushels,Ending Stocks,Soybeans,Crops
1669,Market year,2028/29,15,Million bushels,Imports,Soybeans,Crops
1670,Market year,2028/29,4855,Million bushels,Production,Soybeans,Crops
1671,Market year,2028/29,5170,Million bushels,Total supply,Soybeans,Crops
1672,Market year,2028/29,2405,Million bushels,Crush,Soybeans,Crops
1673,Market year,2028/29,142,Million bushels,Seed and residual,Soybeans,Crops
1674,Market year,2028/29,4877,Million bushels,Total use,Soybeans,Crops
1675,Market year,2028/29,2330,Million bushels,Exports,Soybeans,Crops
1676,Market year,2028/29,369,Dollars per acre,Net returns,Soybeans,Crops
1677,Market year,2028/29,6.2,Dollars per bushel,Loan rate,Soybeans,Crops
1678,Market year,2028/29,2.62,Dollars per bushel,Crush margin (dollar/bushel),Soybeans,Crops
1679,Market year,2028/29,9.75,Dollars per bushel,Farm price,Soybeans,Crops
1680,Market year,2028/29,6,Percent,"Stocks/use ratio, percent",Soybeans,Crops
1681,Market year,2028/29,162,Dollars,Variable cost of production (per acre),Soybeans,Crops
1682,Market year,2028/29,2.98,Dollars,Variable cost of production (per bushel),Soybeans,Crops
1683,Market year,2028/29,54.5,Bushels per acre,Yield (bushel/harvested acre),Soybeans,Crops
1684,Market year,2028/29,10.7,Million acres,Harvested acres,Upland Cotton,Crops
1685,Market year,2028/29,12.6,Million acres,Planted acres,Upland Cotton,Crops
1686,Market year,2028/29,6125,Thousand bales,Beginning stocks,Upland Cotton,Crops
1687,Market year,2028/29,6075,Thousand bales,Ending stocks,Upland Cotton,Crops
1688,Market year,2028/29,5,Thousand bales,Imports,Upland Cotton,Crops
1689,Market year,2028/29,19700,Thousand bales,Production,Upland Cotton,Crops
1690,Market year,2028/29,25830,Thousand bales,Total supply,Upland Cotton,Crops
1691,Market year,2028/29,3000,Thousand bales,Domestic use,Upland Cotton,Crops
1692,Market year,2028/29,19700,Thousand bales,Total use,Upland Cotton,Crops
1693,Market year,2028/29,16700,Thousand bales,Exports,Upland Cotton,Crops
1694,Market year,2028/29,241,Dollars per acre,Net returns,Upland Cotton,Crops
1695,Market year,2028/29,30.8,Percent,"Stocks/use ratio, percent",Upland Cotton,Crops
1696,Market year,2028/29,0.52,Dollars per pound,Loan rate,Upland Cotton,Crops
1697,Market year,2028/29,0.685,Dollars per pound,Farm price,Upland Cotton,Crops
1698,Market year,2028/29,477,Dollars,Variable cost of production (per acre),Upland Cotton,Crops
1699,Market year,2028/29,1,Dollars,Variable cost of production (per pound),Upland Cotton,Crops
1700,Market year,2028/29,885,Pounds per acre,Yield (pounds/harvested acre),Upland Cotton,Crops
1701,Market year,2028/29,37.3,Million acres,Harvested acres,Wheat,Crops
1702,Market year,2028/29,44.5,Million acres,Planted acres,Wheat,Crops
1703,Market year,2028/29,706,Million bushels,Beginning stocks,Wheat,Crops
1704,Market year,2028/29,701,Million bushels,Ending stocks,Wheat,Crops
1705,Market year,2028/29,130,Million bushels,Imports,Wheat,Crops
1706,Market year,2028/29,1940,Million bushels,Production,Wheat,Crops
1707,Market year,2028/29,2776,Million bushels,Total supply,Wheat,Crops
1708,Market year,2028/29,1125,Million bushels,Domestic use,Wheat,Crops
1709,Market year,2028/29,975,Million bushels,Food,Wheat,Crops
1710,Market year,2028/29,90,Million bushels,Feed & residual,Wheat,Crops
1711,Market year,2028/29,60,Million bushels,Seed,Wheat,Crops
1712,Market year,2028/29,2075,Million bushels,Total use,Wheat,Crops
1713,Market year,2028/29,950,Million bushels,Exports,Wheat,Crops
1714,Market year,2028/29,130,Dollars per acre,Net returns,Wheat,Crops
1715,Market year,2028/29,3.38,Dollars per bushel,Loan rate,Wheat,Crops
1716,Market year,2028/29,5.1,Dollars per bushel,Farm price,Wheat,Crops
1717,Market year,2028/29,33.8,Percent,"Stocks/use ratio, percent",Wheat,Crops
1718,Market year,2028/29,135,Dollars,Variable cost of production (per acre),Wheat,Crops
1719,Market year,2028/29,2.59,Dollars,Variable cost of production (per bushel),Wheat,Crops
1720,Market year,2028/29,52,Bushels per acre,Yield (bushel/harvested acre),Wheat,Crops
1721,Market year,2029/30,2.2,Million acres,Harvested acres,Barley,Crops
1722,Market year,2029/30,2.6,Million acres,Planted acres,Barley,Crops
1723,Market year,2029/30,82,Million bushels,Beginning stocks,Barley,Crops
1724,Market year,2029/30,86,Million bushels,Ending stocks,Barley,Crops
1725,Market year,2029/30,10,Million bushels,Imports,Barley,Crops
1726,Market year,2029/30,182,Million bushels,Production,Barley,Crops
1727,Market year,2029/30,274,Million bushels,Total supply,Barley,Crops
1728,Market year,2029/30,183,Million bushels,Domestic use,Barley,Crops
1729,Market year,2029/30,143,Million bushels,"Food, seed, & industrial",Barley,Crops
1730,Market year,2029/30,40,Million bushels,Feed & residual,Barley,Crops
1731,Market year,2029/30,188,Million bushels,Total use,Barley,Crops
1732,Market year,2029/30,5,Million bushels,Exports,Barley,Crops
1733,Market year,2029/30,190,Dollars per acre,Net returns,Barley,Crops
1734,Market year,2029/30,2.5,Dollars per bushel,Loan rate,Barley,Crops
1735,Market year,2029/30,4.5,Dollars per bushel,Farm price,Barley,Crops
1736,Market year,2029/30,45.7,Percent,"Stocks/use ratio, percent",Barley,Crops
1737,Market year,2029/30,182,Dollars,Variable cost of production (per acre),Barley,Crops
1738,Market year,2029/30,2.21,Dollars,Variable cost of production (per bushel),Barley,Crops
1739,Market year,2029/30,82.7,Bushels per acre,Yield (bushel/harvested acre),Barley,Crops
1740,Market year,2029/30,81.5,Million acres,Harvested acres,Corn,Crops
1741,Market year,2029/30,89,Million acres,Planted acres,Corn,Crops
1742,Market year,2029/30,2812,Million bushels,Beginning stocks,Corn,Crops
1743,Market year,2029/30,2847,Million bushels,Ending stocks,Corn,Crops
1744,Market year,2029/30,25,Million bushels,Imports,Corn,Crops
1745,Market year,2029/30,16015,Million bushels,Production,Corn,Crops
1746,Market year,2029/30,18852,Million bushels,Total supply,Corn,Crops
1747,Market year,2029/30,13280,Million bushels,Domestic use,Corn,Crops
1748,Market year,2029/30,5150,Million bushels,Ethanol and by-products,Corn,Crops
1749,Market year,2029/30,6555,Million bushels,"Food, seed, & industrial",Corn,Crops
1750,Market year,2029/30,6725,Million bushels,Feed & residual,Corn,Crops
1751,Market year,2029/30,16005,Million bushels,Total use,Corn,Crops
1752,Market year,2029/30,2725,Million bushels,Exports,Corn,Crops
1753,Market year,2029/30,362,Dollars per acre,Net returns,Corn,Crops
1754,Market year,2029/30,2.2,Dollars per bushel,Loan rate,Corn,Crops
1755,Market year,2029/30,3.55,Dollars per bushel,Farm price,Corn,Crops
1756,Market year,2029/30,17.8,Percent,"Stocks/use ratio, percent",Corn,Crops
1757,Market year,2029/30,335,Dollars,Variable cost of production (per acre),Corn,Crops
1758,Market year,2029/30,1.71,Dollars,Variable cost of production (per bushel),Corn,Crops
1759,Market year,2029/30,196.5,Bushels per acre,Yield (bushel/harvested acre),Corn,Crops
1760,Market year,2029/30,1,Million acres,Harvested acres,Oats,Crops
1761,Market year,2029/30,2.7,Million acres,Planted acres,Oats,Crops
1762,Market year,2029/30,40,Million bushels,Beginning stocks,Oats,Crops
1763,Market year,2029/30,38,Million bushels,Ending stocks,Oats,Crops
1764,Market year,2029/30,95,Million bushels,Imports,Oats,Crops
1765,Market year,2029/30,69,Million bushels,Production,Oats,Crops
1766,Market year,2029/30,204,Million bushels,Total supply,Oats,Crops
1767,Market year,2029/30,164,Million bushels,Domestic use,Oats,Crops
1768,Market year,2029/30,84,Million bushels,"Food, seed, & industrial",Oats,Crops
1769,Market year,2029/30,80,Million bushels,Feed & residual,Oats,Crops
1770,Market year,2029/30,166,Million bushels,Total use,Oats,Crops
1771,Market year,2029/30,2,Million bushels,Exports,Oats,Crops
1772,Market year,2029/30,49,Dollars per acre,Net returns,Oats,Crops
1773,Market year,2029/30,2,Dollars per bushel,Loan rate,Oats,Crops
1774,Market year,2029/30,2.65,Dollars per bushel,Farm price,Oats,Crops
1775,Market year,2029/30,22.9,Percent,"Stocks/use ratio, percent",Oats,Crops
1776,Market year,2029/30,133,Dollars,Variable cost of production (per acre),Oats,Crops
1777,Market year,2029/30,1.93,Dollars,Variable cost of production (per bushel),Oats,Crops
1778,Market year,2029/30,69,Bushels per acre,Yield (bushel/harvested acre),Oats,Crops
1779,Market year,2029/30,2650,Thousand acres,Harvested acres,Rice,Crops
1780,Market year,2029/30,2700,Thousand acres,Planted acres,Rice,Crops
1781,Market year,2029/30,484,Dollars per acre,Net returns,Rice,Crops
1782,Market year,2029/30,16.2,Percent,"Stocks/use ratio, percent",Rice,Crops
1783,Market year,2029/30,7,Dollars per hundredweight,Loan rate,Rice,Crops
1784,Market year,2029/30,13.5,Dollars per hundredweight,Farm price,Rice,Crops
1785,Market year,2029/30,581,Dollars,Variable cost of production (per acre),Rice,Crops
1786,Market year,2029/30,8,Dollars,Variable cost of production (per hundredweight),Rice,Crops
1787,Market year,2029/30,41.1,Million hundredweight,Beginning stocks,Rice,Crops
1788,Market year,2029/30,41.4,Million hundredweight,Ending stocks,Rice,Crops
1789,Market year,2029/30,70,Million hundredweight,"Milling rate, percent",Rice,Crops
1790,Market year,2029/30,46.5,Million hundredweight,Imports,Rice,Crops
1791,Market year,2029/30,209,Million hundredweight,Production,Rice,Crops
1792,Market year,2029/30,296.6,Million hundredweight,Total supply,Rice,Crops
1793,Market year,2029/30,153.7,Million hundredweight,Domestic use & residual,Rice,Crops
1794,Market year,2029/30,255.2,Million hundredweight,Total use,Rice,Crops
1795,Market year,2029/30,101.5,Million hundredweight,Exports,Rice,Crops
1796,Market year,2029/30,7887,Pounds per acre,Yield (pounds/harvested acre),Rice,Crops
1797,Market year,2029/30,6.2,Million acres,Harvested acres,Sorghum,Crops
1798,Market year,2029/30,7,Million acres,Planted acres,Sorghum,Crops
1799,Market year,2029/30,36,Million bushels,Beginning stocks,Sorghum,Crops
1800,Market year,2029/30,33,Million bushels,Ending stocks,Sorghum,Crops
1801,Market year,2029/30,0,Million bushels,Imports,Sorghum,Crops
1802,Market year,2029/30,427,Million bushels,Production,Sorghum,Crops
1803,Market year,2029/30,463,Million bushels,Total supply,Sorghum,Crops
1804,Market year,2029/30,105,Million bushels,Domestic use,Sorghum,Crops
1805,Market year,2029/30,40,Million bushels,"Food, seed, & industrial",Sorghum,Crops
1806,Market year,2029/30,65,Million bushels,Feed & residual,Sorghum,Crops
1807,Market year,2029/30,430,Million bushels,Total use,Sorghum,Crops
1808,Market year,2029/30,325,Million bushels,Exports,Sorghum,Crops
1809,Market year,2029/30,121,Dollars per acre,Net returns,Sorghum,Crops
1810,Market year,2029/30,2.2,Dollars per bushel,Loan rate,Sorghum,Crops
1811,Market year,2029/30,3.7,Dollars per bushel,Farm price,Sorghum,Crops
1812,Market year,2029/30,7.7,Percent,"Stocks/use ratio, percent",Sorghum,Crops
1813,Market year,2029/30,134,Dollars,Variable cost of production (per acre),Sorghum,Crops
1814,Market year,2029/30,1.94,Dollars,Variable cost of production (per bushel),Sorghum,Crops
1815,Market year,2029/30,69,Bushels per acre,Yield (bushel/harvested acre),Sorghum,Crops
1816,Market year,2029/30,350,Dollars per short ton,Soybean meal price (dollar/ton),Soybean meal,Crops
1817,Market year,2029/30,47,Pounds per bushel,"Crushing yields, soybean meal",Soybean meal,Crops
1818,Market year,2029/30,400,Thousand short tons,Beginning stocks,Soybean meal,Crops
1819,Market year,2029/30,400,Thousand short tons,Ending Stocks,Soybean meal,Crops
1820,Market year,2029/30,57750,Thousand short tons,Total use,Soybean meal,Crops
1821,Market year,2029/30,400,Thousand short tons,Imports,Soybean meal,Crops
1822,Market year,2029/30,57350,Thousand short tons,Production,Soybean meal,Crops
1823,Market year,2029/30,58150,Thousand short tons,Total supply,Soybean meal,Crops
1824,Market year,2029/30,42900,Thousand short tons,Domestic use,Soybean meal,Crops
1825,Market year,2029/30,14850,Thousand short tons,Exports,Soybean meal,Crops
1826,Market year,2029/30,0,Dollars per pound,Soybean oil price (dollar/pound),Soybean oil,Crops
1827,Market year,2029/30,12,Pounds per bushel,"Crushing yields, soybean oil",Soybean oil,Crops
1828,Market year,2029/30,1930,Million pounds,Beginning stocks,Soybean oil,Crops
1829,Market year,2029/30,1925,Million pounds,Ending Stocks,Soybean oil,Crops
1830,Market year,2029/30,28700,Million pounds,Total use,Soybean oil,Crops
1831,Market year,2029/30,350,Million pounds,Imports,Soybean oil,Crops
1832,Market year,2029/30,28345,Million pounds,Production,Soybean oil,Crops
1833,Market year,2029/30,30625,Million pounds,Total supply,Soybean oil,Crops
1834,Market year,2029/30,25800,Million pounds,Domestic use,Soybean oil,Crops
1835,Market year,2029/30,8550,Million pounds,"Soybean oil, for methyl ester",Soybean oil,Crops
1836,Market year,2029/30,2900,Million pounds,Exports,Soybean oil,Crops
1837,Market year,2029/30,89.2,Million acres,Harvested acres,Soybeans,Crops
1838,Market year,2029/30,90,Million acres,Planted acres,Soybeans,Crops
1839,Market year,2029/30,294,Million bushels,Beginning stocks,Soybeans,Crops
